24,03;18,88;5,16;11,11;30,06;-7,1;43,89;37,71;-22,39;-33,47;43,89;-22,39;-33,47;13,31;14,72;108,95;1,97;10,14;30,13;1,59;13,58;11,12;0,44;57,51;-0,72;-49,73;-16,26;0
43,63;44,51;-0,87;7,2;10,74;-14,91;55,25;39,45;-31,25;-44,33;55,25;-31,25;-44,33;66,83;82,66;126,23;-5,9;0,82;35,42;11,32;26,85;10,76;6,22;87,96;-0,98;-61,41;-17,08;0
43,63;44,51;-0,87;7,2;10,74;-14,91;55,25;39,45;-31,25;-44,33;55,25;-31,25;-44,33;66,83;82,66;126,23;-5,9;0,82;35,42;11,32;26,85;10,76;6,22;87,96;-0,98;-61,41;-17,08;0
46,46;24,74;21,73;4,19;59,15;-22,34;37,25;28,15;-21,59;-27,61;37,25;-21,59;-27,61;73,78;38,13;106,1;-0,56;9,31;27,96;8,36;77,99;19,93;1,25;74,07;-1,68;-63,1;-35,49;0
40,79;23,04;17,75;3,34;45,6;13,84;47,7;22,59;-35,56;-50,49;47,7;-35,56;-50,49;-91,9;-85,93;126,97;15,8;19,44;31,1;-8,05;16,31;14,68;-2,02;91,28;-0,81;-59,72;-9,23;0
85,1;63,65;21,44;1,59;41,74;-17,86;49,34;30,01;-77,02;-78,69;49,34;-77,02;-78,69;55,02;33,18;147,8;-0,17;4,83;13,18;3,68;4,64;6,96;1,32;163,78;-1,08;-86,11;-7,43;0
70,7;51,2;19,5;3,23;48,54;-11,71;40,6;36,9;-59,21;-74,55;38,38;-56,74;-72,08;4,65;-24,42;141,76;4,68;10,01;6,85;-2,54;18,9;8,01;0,1;145,26;-0,95;-77,54;-2,98;0
66,81;33,05;33,76;3,75;77,47;-11,25;51,57;31,44;-46,06;-52,88;50,57;-47,6;-54,42;25,11;-18,87;121,46;6,22;12,64;16,94;2,12;4,18;11,36;0,32;119,69;-1,26;-75,22;-22,34;0
91,46;64,37;27,09;2,19;58,46;-8,17;44,15;36,58;-53,6;-74,64;43,16;-58,49;-79,53;44,5;35,76;149,35;2,34;6,81;8,41;2,34;11,93;10,13;0,76;166,1;-1,23;-89,9;-15,26;0
80,25;60,71;19,53;4,22;37,54;-16,76;38,85;26,5;-50,68;-69,67;38,85;-50,68;-69,67;63,51;41;143,48;-2,01;3;17,56;4,06;6,25;12,86;1,69;149,92;-1,15;-83,22;-13,55;0
39,5;28,1;11,39;4,33;34,41;-5,4;50,69;35,66;-39,74;-48,41;50,69;-39,74;-48,41;-12,16;-20,46;121,28;5,84;10,42;33,3;-1,11;1,23;10,94;-0,35;87,91;-0,82;-58,95;-10,53;0
53,78;46,87;6,92;7,36;22,31;-24,38;32,67;26,37;-41,05;-50,31;32,67;-41,05;-50,31;31,83;31,08;134,43;-0,15;3,23;0,49;2,86;21,61;21,56;1,43;104,1;-1,07;-67,46;-17,15;0
65,09;45,95;19,14;2,88;42,83;-16,63;52,55;42,27;-55,43;-68,77;52,55;-55,43;-68,77;10,19;-26,2;136,05;4,58;11,2;4,9;2,28;0,16;7,03;0,24;133,86;-0,95;-74,19;-5,42;0
75,3;48,37;26,94;1,17;54,63;15,46;39,14;36,38;-89,5;-76,82;39,14;-89,5;-76,82;-1,62;-45,57;140,03;7,61;11,67;13,95;-4,64;7,95;13,34;-0,03;152,12;-0,98;-80,28;-3,46;0
57,63;30,09;27,54;1,94;70,37;-14,37;41,87;26,74;-24,44;-42,37;41,87;-24,44;-42,37;9,82;-20,26;120,7;6,92;13,9;16,79;2,22;18,97;13,16;0,14;100;-1,36;-69,75;-27,39;0
46,12;42,8;3,32;5,59;18,13;-12,23;68,63;47,44;-54,15;-78,06;70,17;-54,15;-78,06;-45,57;-56,31;140,6;8,07;16,17;15,74;5,24;0,66;14,78;-2,51;124,19;-0,59;-62,89;15,17;0
31,71;12,27;19,45;0,49;60,49;-19,23;53,82;46,26;-19,3;-30,53;53,82;-19,75;-30,98;-12,77;-48,04;106,93;9,55;18,65;16,64;-4,71;14,26;18,08;-0,21;62,24;-1,04;-54,31;-23,78;0
48,5;29,2;19,3;1;57,15;4,43;36,9;41,3;-38,9;-39,9;40,8;-46;-47,01;8;-17;119,9;4,9;12,4;25,76;-1,73;16;8,9;0,14;88,4;-1,22;-64,31;-24,41;0
71,71;48,86;22,85;3,59;46,45;-11,38;13;21,98;-40,65;-43,87;8,21;-51,46;-54,68;51,79;-0,27;133,19;-0,5;0,6;15,83;-0,88;15,12;14,99;1,11;115,58;-1,63;-78,14;-34,27;0
40,55;25,59;14,95;1,35;44,75;3,01;40,4;40,98;-32,74;-43,94;40,4;-32,74;-43,94;-18,61;-36,22;120,18;7,84;15,2;25,29;2,93;1,09;8,49;-0,42;84,49;-0,92;-59,57;-15,63;0
53,16;35,73;17,42;7,26;38,87;-11,75;76,94;50,46;-61,14;-63,75;76,94;-61,14;-63,75;-1,07;5,05;127,41;6,28;15,79;22,11;1,41;16,73;6,32;-0,03;116,9;-0,83;-67,08;-3,34;0
